Score0,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,SpendTime
1.0000,0.7304,0.8693,0.9330,0.6748,0.0907,0.0000,0.4499,0.6186,0.0220,0.7686,0.3535,0.5025,0.0968,0.2288,0.4751,4.0620
1.0000,0.7119,0.8585,0.9452,0.6576,0.0851,0.0000,0.4244,0.6053,0.0115,0.7596,0.3403,0.4849,0.0816,0.2150,0.4629,2.3036
1.0000,0.7158,0.8522,0.9461,0.6296,0.1093,0.0100,0.4108,0.5782,0.0000,0.7465,0.3341,0.4564,0.0681,0.2255,0.4791,2.8795
1.0000,0.8001,0.9034,0.9435,0.5957,0.1368,0.0337,0.4710,0.5293,0.0000,0.7151,0.3004,0.4258,0.0725,0.2139,0.5493,2.7812
1.0000,0.8759,0.9073,0.9234,0.5612,0.1808,0.0745,0.5122,0.4877,0.0000,0.7004,0.3085,0.3923,0.0805,0.2455,0.6173,2.3308
0.6220,1.0000,0.5262,0.4068,0.1802,0.2748,0.1405,0.5308,0.0868,0.0000,0.3838,0.2218,0.1182,0.1185,0.1521,0.6950,2.2085
0.5161,1.0000,0.4215,0.3087,0.0883,0.3262,0.1905,0.4817,0.0000,0.0866,0.2691,0.2388,0.0606,0.2027,0.2090,0.7323,2.2623
0.5461,1.0000,0.4370,0.3494,0.0838,0.3574,0.2365,0.4272,0.0000,0.1407,0.2676,0.2769,0.0528,0.2422,0.2338,0.7433,2.2148
0.5923,1.0000,0.4921,0.3951,0.0993,0.2691,0.1371,0.4297,0.0133,0.0000,0.2935,0.1965,0.0471,0.1211,0.2004,0.6880,2.2471
0.5981,1.0000,0.4987,0.3885,0.1185,0.2751,0.1452,0.4427,0.0333,0.0000,0.3263,0.2038,0.0631,0.1210,0.1546,0.6862,2.3114
0.7642,0.5001,1.0000,0.7779,0.4466,0.0536,0.0467,0.3509,0.4718,0.0000,0.6187,0.2177,0.3885,0.0499,0.0777,0.3361,2.2381
0.8032,0.5460,1.0000,0.7936,0.4621,0.0751,0.0559,0.3715,0.4770,0.0000,0.6397,0.2320,0.3915,0.0552,0.1056,0.3789,2.2376
0.7978,0.5201,1.0000,0.8046,0.4753,0.0523,0.0403,0.3599,0.5052,0.0000,0.6293,0.2196,0.3980,0.0535,0.0968,0.3383,2.2358
